Delivery Number: 5, Reason: Missing Weight
Delivery Number: 92081, Reason: Missing Weight
Delivery Number: 92086, Reason: Weight cannot be zero or negative
Delivery Number: 92132, Reason: Missing Weight
Delivery Number: 92135, Reason: Missing Priority
Delivery Number: 92141, Reason: Missing Weight
Delivery Number: 92174, Reason: Weight exceeds capacity
Delivery Number: 92180, Reason: Missing Area
Delivery Number: 92181, Reason: Missing Area
Delivery Number: 92211, Reason: Weight exceeds capacity
Delivery Number: 92222, Reason: Weight cannot be zero or negative
Delivery Number: 92232, Reason: Missing Weight
Delivery Number: 92250, Reason: Missing Weight
Delivery Number: 92261, Reason: Missing Weight
Delivery Number: 92290, Reason: Missing Weight
Delivery Number: 92292, Reason: Weight exceeds capacity
Delivery Number: 92297, Reason: Missing Priority
Delivery Number: 92304, Reason: Missing Area
Delivery Number: 92307, Reason: Missing Area
Delivery Number: 92325, Reason: Missing Priority
Delivery Number: 92335, Reason: Missing Area
Delivery Number: 92359, Reason: Missing Area
Delivery Number: 92396, Reason: Weight exceeds capacity
Delivery Number: 92429, Reason: Missing Area
Delivery Number: 92444, Reason: Weight cannot be zero or negative
Delivery Number: 92450, Reason: Weight cannot be zero or negative
Delivery Number: 92484, Reason: Weight cannot be zero or negative
Delivery Number: 92487, Reason: Missing Area
Delivery Number: 92495, Reason: Weight cannot be zero or negative
Delivery Number: 92496, Reason: Missing Area
Delivery Number: 92504, Reason: Missing Area
Delivery Number: 92516, Reason: Missing Area
Delivery Number: 92517, Reason: Weight cannot be zero or negative
Delivery Number: 92518, Reason: Missing Priority
Delivery Number: 92519, Reason: Missing Weight
Delivery Number: 92530, Reason: Weight cannot be zero or negative
Delivery Number: 92542, Reason: Weight cannot be zero or negative
Delivery Number: 92569, Reason: Missing Weight
Delivery Number: 92583, Reason: Missing Area
Delivery Number: 92600, Reason: Missing Priority
Delivery Number: 92602, Reason: Missing Area
Delivery Number: 92613, Reason: Weight cannot be zero or negative
Delivery Number: 92633, Reason: Missing Area
Delivery Number: 92636, Reason: Missing Area
Delivery Number: 92640, Reason: Weight cannot be zero or negative
Delivery Number: 92659, Reason: Missing Weight
Delivery Number: 92672, Reason: Weight exceeds capacity
Delivery Number: 92726, Reason: Missing Weight
Delivery Number: 92729, Reason: Weight exceeds capacity
Delivery Number: 92743, Reason: Weight exceeds capacity
Delivery Number: 92748, Reason: Missing Area
Delivery Number: 92749, Reason: Weight exceeds capacity
Delivery Number: 92770, Reason: Missing Priority
Delivery Number: 92777, Reason: Weight exceeds capacity
Delivery Number: 92796, Reason: Missing Area
Delivery Number: 92809, Reason: Missing Weight
Delivery Number: 92813, Reason: Weight cannot be zero or negative
Delivery Number: 92841, Reason: Weight exceeds capacity
Delivery Number: 92852, Reason: Weight cannot be zero or negative
Delivery Number: 92875, Reason: Missing Area
Delivery Number: 92880, Reason: Weight cannot be zero or negative
Delivery Number: 92884, Reason: Missing Area
Delivery Number: 92944, Reason: Weight cannot be zero or negative
Delivery Number: 92945, Reason: Weight exceeds capacity
Delivery Number: 92958, Reason: Missing Area
Delivery Number: 92969, Reason: Weight cannot be zero or negative
Delivery Number: 92976, Reason: Missing Area
Delivery Number: 93011, Reason: Weight cannot be zero or negative
Delivery Number: 93014, Reason: Weight cannot be zero or negative
Delivery Number: 93052, Reason: Weight cannot be zero or negative
Delivery Number: 93067, Reason: Weight cannot be zero or negative
Delivery Number: 93076, Reason: Missing Priority
Delivery Number: 93080, Reason: Weight cannot be zero or negative
Delivery Number: 93092, Reason: Missing Area
Delivery Number: 93101, Reason: Missing Area
Delivery Number: 93130, Reason: Weight cannot be zero or negative
Delivery Number: 93137, Reason: Weight cannot be zero or negative
Delivery Number: 93156, Reason: Missing Priority
Delivery Number: 93163, Reason: Missing Area
Delivery Number: 93178, Reason: Missing Priority
Delivery Number: 93187, Reason: Weight cannot be zero or negative
Delivery Number: 93198, Reason: Missing Weight
Delivery Number: 93199, Reason: Missing Weight
Delivery Number: 93205, Reason: Missing Weight
Delivery Number: 93209, Reason: Missing Weight
Delivery Number: 93210, Reason: Missing Priority
Delivery Number: 93212, Reason: Weight cannot be zero or negative
Delivery Number: 93245, Reason: Missing Area
Delivery Number: 93249, Reason: Missing Area
Delivery Number: 93267, Reason: Weight cannot be zero or negative
Delivery Number: 93272, Reason: Weight cannot be zero or negative
Delivery Number: 93278, Reason: Weight cannot be zero or negative
Delivery Number: 93291, Reason: Weight exceeds capacity
Delivery Number: 93292, Reason: Weight cannot be zero or negative
Delivery Number: 93294, Reason: Missing Weight
Delivery Number: 93321, Reason: Weight cannot be zero or negative
Delivery Number: 93325, Reason: Weight cannot be zero or negative
Delivery Number: 93326, Reason: Missing Area
Delivery Number: 93328, Reason: Weight exceeds capacity
Delivery Number: 93339, Reason: Missing Priority
Delivery Number: 93342, Reason: Missing Weight
Delivery Number: 93356, Reason: Missing Priority
Delivery Number: 93379, Reason: Weight exceeds capacity
Delivery Number: 93405, Reason: Missing Weight
Delivery Number: 93441, Reason: Missing Area
Delivery Number: 93452, Reason: Weight cannot be zero or negative
Delivery Number: 93458, Reason: Weight cannot be zero or negative
Delivery Number: 93459, Reason: Missing Weight
Delivery Number: 93460, Reason: Missing Priority
Delivery Number: 93499, Reason: Missing Weight
Delivery Number: 93538, Reason: Missing Area
Delivery Number: 93545, Reason: Missing Weight
Delivery Number: 93553, Reason: Weight cannot be zero or negative
Delivery Number: 93558, Reason: Weight cannot be zero or negative
Delivery Number: 93593, Reason: Weight exceeds capacity
Delivery Number: 93601, Reason: Weight cannot be zero or negative
Delivery Number: 93605, Reason: Missing Priority
Delivery Number: 93614, Reason: Missing Area
Delivery Number: 93620, Reason: Missing Weight
Delivery Number: 93623, Reason: Missing Area
Delivery Number: 93638, Reason: Missing Area
Delivery Number: 93716, Reason: Missing Area
Delivery Number: 93720, Reason: Missing Weight
Delivery Number: 93724, Reason: Missing Weight
Delivery Number: 93725, Reason: Weight exceeds capacity
Delivery Number: 93744, Reason: Missing Area
Delivery Number: 93749, Reason: Missing Area
Delivery Number: 93760, Reason: Missing Priority
Delivery Number: 93777, Reason: Weight cannot be zero or negative
Delivery Number: 93778, Reason: Missing Weight
Delivery Number: 93783, Reason: Missing Area
Delivery Number: 93815, Reason: Weight cannot be zero or negative
Delivery Number: 93841, Reason: Weight cannot be zero or negative
Delivery Number: 93878, Reason: Missing Area
Delivery Number: 93891, Reason: Missing Priority
Delivery Number: 93945, Reason: Missing Priority
Delivery Number: 93946, Reason: Missing Area
Delivery Number: 93954, Reason: Weight exceeds capacity
Delivery Number: 93996, Reason: Weight exceeds capacity
Delivery Number: 94003, Reason: Weight cannot be zero or negative
Delivery Number: 94007, Reason: Missing Area
Delivery Number: 94008, Reason: Weight cannot be zero or negative
Delivery Number: 94010, Reason: Missing Area
Delivery Number: 94044, Reason: Missing Area
Delivery Number: 94060, Reason: Missing Area
Delivery Number: 94062, Reason: Missing Area
Delivery Number: 94076, Reason: Missing Area
Delivery Number: 94104, Reason: Weight exceeds capacity
Delivery Number: 94108, Reason: Missing Weight
Delivery Number: 94113, Reason: Weight exceeds capacity
Delivery Number: 94126, Reason: Missing Weight
Delivery Number: 94131, Reason: Missing Weight
Delivery Number: 94136, Reason: Missing Weight
Delivery Number: 94146, Reason: Weight cannot be zero or negative
Delivery Number: 94155, Reason: Missing Weight
Delivery Number: 94160, Reason: Missing Area
Delivery Number: 94167, Reason: Missing Priority
Delivery Number: 94168, Reason: Missing Area
Delivery Number: 94178, Reason: Weight cannot be zero or negative
Delivery Number: 94218, Reason: Weight cannot be zero or negative
Delivery Number: 94229, Reason: Weight cannot be zero or negative
Delivery Number: 94239, Reason: Missing Area
Delivery Number: 94242, Reason: Missing Area
Delivery Number: 94273, Reason: Missing Weight
Delivery Number: 94281, Reason: Missing Weight
Delivery Number: 94283, Reason: Missing Area
Delivery Number: 94314, Reason: Weight exceeds capacity
Delivery Number: 94328, Reason: Missing Priority
Delivery Number: 94365, Reason: Weight exceeds capacity
Delivery Number: 94401, Reason: Missing Weight
Delivery Number: 94408, Reason: Missing Priority
Delivery Number: 94410, Reason: Missing Area
Delivery Number: 94445, Reason: Weight cannot be zero or negative
Delivery Number: 94456, Reason: Missing Area
Delivery Number: 94458, Reason: Weight cannot be zero or negative
Delivery Number: 94501, Reason: Missing Priority
Delivery Number: 94508, Reason: Weight cannot be zero or negative
Delivery Number: 94533, Reason: Missing Area
Delivery Number: 94538, Reason: Weight cannot be zero or negative
Delivery Number: 94554, Reason: Missing Weight
Delivery Number: 94555, Reason: Missing Area
Delivery Number: 94556, Reason: Weight cannot be zero or negative
Delivery Number: 94609, Reason: Missing Weight
Delivery Number: 94613, Reason: Missing Area
Delivery Number: 94615, Reason: Weight cannot be zero or negative
Delivery Number: 94624, Reason: Missing Priority
Delivery Number: 94625, Reason: Missing Area
Delivery Number: 94630, Reason: Weight cannot be zero or negative
Delivery Number: 94653, Reason: Weight cannot be zero or negative
Delivery Number: 94654, Reason: Missing Priority
Delivery Number: 94680, Reason: Weight cannot be zero or negative
Delivery Number: 94692, Reason: Missing Area
Delivery Number: 94700, Reason: Missing Weight
Delivery Number: 94734, Reason: Missing Area
Delivery Number: 94752, Reason: Missing Priority
Delivery Number: 94776, Reason: Weight cannot be zero or negative
Delivery Number: 94780, Reason: Missing Weight
Delivery Number: 94785, Reason: Missing Priority
Delivery Number: 94798, Reason: Missing Area
Delivery Number: 94807, Reason: Weight cannot be zero or negative
Delivery Number: 94815, Reason: Missing Area
Delivery Number: 94819, Reason: Missing Area
Delivery Number: 94847, Reason: Missing Area
Delivery Number: 94868, Reason: Missing Area
Delivery Number: 94873, Reason: Weight cannot be zero or negative
Delivery Number: 94875, Reason: Missing Area
Delivery Number: 94887, Reason: Missing Priority
Delivery Number: 94888, Reason: Weight cannot be zero or negative
Delivery Number: 94897, Reason: Missing Weight
Delivery Number: 94902, Reason: Missing Area
Delivery Number: 94927, Reason: Missing Area
Delivery Number: 94931, Reason: Missing Weight
Delivery Number: 94943, Reason: Weight exceeds capacity
Delivery Number: 94977, Reason: Weight cannot be zero or negative
Delivery Number: 94988, Reason: Weight cannot be zero or negative
Delivery Number: 94995, Reason: Weight exceeds capacity
Delivery Number: 95010, Reason: Missing Area
Delivery Number: 95036, Reason: Missing Area
Delivery Number: 95048, Reason: Weight cannot be zero or negative
Delivery Number: 95057, Reason: Missing Area
Delivery Number: 95069, Reason: Missing Weight
Delivery Number: 95092, Reason: Missing Weight
Delivery Number: 95118, Reason: Missing Priority
Delivery Number: 95141, Reason: Weight exceeds capacity
Delivery Number: 95144, Reason: Missing Area
Delivery Number: 95152, Reason: Weight exceeds capacity
Delivery Number: 95153, Reason: Missing Priority
Delivery Number: 95156, Reason: Missing Weight
Delivery Number: 95172, Reason: Missing Weight
Delivery Number: 95178, Reason: Weight exceeds capacity
Delivery Number: 95201, Reason: Missing Area
Delivery Number: 95203, Reason: Missing Area
Delivery Number: 95220, Reason: Missing Area
Delivery Number: 95227, Reason: Weight cannot be zero or negative
Delivery Number: 95239, Reason: Weight cannot be zero or negative
Delivery Number: 95250, Reason: Missing Area
Delivery Number: 95268, Reason: Weight cannot be zero or negative
Delivery Number: 95273, Reason: Weight cannot be zero or negative
Delivery Number: 95278, Reason: Weight exceeds capacity
Delivery Number: 95285, Reason: Missing Weight
Delivery Number: 95286, Reason: Weight cannot be zero or negative
Delivery Number: 95293, Reason: Weight cannot be zero or negative
Delivery Number: 95339, Reason: Weight cannot be zero or negative
Delivery Number: 95356, Reason: Weight cannot be zero or negative
Delivery Number: 95391, Reason: Missing Weight
Delivery Number: 95398, Reason: Missing Priority
Delivery Number: 95414, Reason: Weight cannot be zero or negative
Delivery Number: 95424, Reason: Missing Area
Delivery Number: 95438, Reason: Weight cannot be zero or negative
Delivery Number: 95444, Reason: Missing Weight
Delivery Number: 95482, Reason: Missing Priority
Delivery Number: 95503, Reason: Weight exceeds capacity
Delivery Number: 95509, Reason: Missing Area
Delivery Number: 95515, Reason: Weight exceeds capacity
Delivery Number: 95528, Reason: Weight cannot be zero or negative
Delivery Number: 95556, Reason: Weight cannot be zero or negative
Delivery Number: 95569, Reason: Weight cannot be zero or negative
Delivery Number: 95581, Reason: Missing Area
Delivery Number: 95602, Reason: Missing Area
Delivery Number: 95619, Reason: Weight cannot be zero or negative
Delivery Number: 95629, Reason: Weight exceeds capacity
Delivery Number: 95633, Reason: Missing Area
Delivery Number: 95639, Reason: Weight cannot be zero or negative
Delivery Number: 95660, Reason: Weight cannot be zero or negative
Delivery Number: 95687, Reason: Weight exceeds capacity
Delivery Number: 95700, Reason: Weight cannot be zero or negative
Delivery Number: 95711, Reason: Missing Area
Delivery Number: 95723, Reason: Weight exceeds capacity
Delivery Number: 95738, Reason: Weight cannot be zero or negative
Delivery Number: 95740, Reason: Weight exceeds capacity
Delivery Number: 95747, Reason: Missing Priority
Delivery Number: 95753, Reason: Missing Area
Delivery Number: 95761, Reason: Weight exceeds capacity
Delivery Number: 95766, Reason: Missing Area
Delivery Number: 95785, Reason: Missing Area
Delivery Number: 95805, Reason: Missing Area
Delivery Number: 95810, Reason: Missing Area
Delivery Number: 95822, Reason: Missing Weight
Delivery Number: 95830, Reason: Missing Area
Delivery Number: 95842, Reason: Missing Area
Delivery Number: 95848, Reason: Weight cannot be zero or negative
Delivery Number: 95851, Reason: Missing Priority
Delivery Number: 95852, Reason: Missing Area
Delivery Number: 95868, Reason: Missing Weight
Delivery Number: 95875, Reason: Weight cannot be zero or negative
Delivery Number: 95899, Reason: Missing Area
Delivery Number: 95907, Reason: Missing Area
Delivery Number: 95913, Reason: Weight exceeds capacity
Delivery Number: 95920, Reason: Weight cannot be zero or negative
Delivery Number: 95924, Reason: Missing Weight
Delivery Number: 95963, Reason: Missing Area
Delivery Number: 95974, Reason: Missing Area
Delivery Number: 95979, Reason: Missing Area
Delivery Number: 95985, Reason: Weight cannot be zero or negative
Delivery Number: 95989, Reason: Weight cannot be zero or negative
Delivery Number: 95991, Reason: Weight cannot be zero or negative
Delivery Number: 95993, Reason: Missing Area
Delivery Number: 96000, Reason: Missing Area
Delivery Number: 96017, Reason: Missing Area
Delivery Number: 96018, Reason: Missing Area
Delivery Number: 96024, Reason: Missing Area
Delivery Number: 96039, Reason: Missing Priority
Delivery Number: 96064, Reason: Weight cannot be zero or negative
Delivery Number: 96107, Reason: Weight exceeds capacity
Delivery Number: 96114, Reason: Weight exceeds capacity
Delivery Number: 96128, Reason: Missing Priority
Delivery Number: 96134, Reason: Missing Weight
Delivery Number: 96142, Reason: Weight cannot be zero or negative
Delivery Number: 96145, Reason: Missing Priority
Delivery Number: 96146, Reason: Missing Priority
Delivery Number: 96150, Reason: Missing Priority
Delivery Number: 96153, Reason: Missing Area
Delivery Number: 96154, Reason: Missing Priority
Delivery Number: 96170, Reason: Weight cannot be zero or negative
Delivery Number: 96211, Reason: Weight cannot be zero or negative
Delivery Number: 96217, Reason: Missing Weight
Delivery Number: 96219, Reason: Missing Area
Delivery Number: 96236, Reason: Weight exceeds capacity
Delivery Number: 96284, Reason: Weight cannot be zero or negative
Delivery Number: 96337, Reason: Missing Area
Delivery Number: 96345, Reason: Weight exceeds capacity
Delivery Number: 96346, Reason: Weight cannot be zero or negative
Delivery Number: 96357, Reason: Weight cannot be zero or negative
Delivery Number: 96363, Reason: Missing Area
Delivery Number: 96380, Reason: Missing Area
Delivery Number: 96402, Reason: Weight cannot be zero or negative
Delivery Number: 96417, Reason: Weight exceeds capacity
Delivery Number: 96436, Reason: Weight cannot be zero or negative
Delivery Number: 96440, Reason: Weight cannot be zero or negative
Delivery Number: 96478, Reason: Missing Area
Delivery Number: 96505, Reason: Missing Area
Delivery Number: 96530, Reason: Missing Area
Delivery Number: 96546, Reason: Missing Priority
Delivery Number: 96550, Reason: Weight exceeds capacity
Delivery Number: 96558, Reason: Weight exceeds capacity
Delivery Number: 96593, Reason: Weight exceeds capacity
Delivery Number: 96647, Reason: Missing Weight
Delivery Number: 96676, Reason: Missing Priority
Delivery Number: 96680, Reason: Missing Weight
Delivery Number: 96686, Reason: Missing Area
Delivery Number: 96689, Reason: Missing Area
Delivery Number: 96726, Reason: Missing Weight
Delivery Number: 96742, Reason: Missing Priority
Delivery Number: 96753, Reason: Missing Area
Delivery Number: 96774, Reason: Missing Weight
Delivery Number: 96775, Reason: Missing Priority
Delivery Number: 96777, Reason: Weight cannot be zero or negative
Delivery Number: 96783, Reason: Missing Priority
Delivery Number: 96804, Reason: Weight cannot be zero or negative
Delivery Number: 96813, Reason: Missing Weight
Delivery Number: 96817, Reason: Missing Area
Delivery Number: 96824, Reason: Missing Weight
Delivery Number: 96840, Reason: Missing Priority
Delivery Number: 96849, Reason: Missing Priority
Delivery Number: 96854, Reason: Weight cannot be zero or negative
Delivery Number: 96875, Reason: Missing Weight
Delivery Number: 96890, Reason: Missing Area
Delivery Number: 96895, Reason: Missing Area
Delivery Number: 96909, Reason: Missing Priority
Delivery Number: 96954, Reason: Missing Priority
Delivery Number: 96955, Reason: Weight cannot be zero or negative
Delivery Number: 96963, Reason: Missing Weight
Delivery Number: 96966, Reason: Missing Area
Delivery Number: 96981, Reason: Missing Weight
Delivery Number: 96997, Reason: Missing Weight
Delivery Number: 97003, Reason: Missing Area
Delivery Number: 97010, Reason: Missing Weight
Delivery Number: 97018, Reason: Missing Priority
Delivery Number: 97034, Reason: Missing Priority
Delivery Number: 97035, Reason: Weight exceeds capacity
Delivery Number: 97045, Reason: Weight exceeds capacity
Delivery Number: 97048, Reason: Missing Priority
Delivery Number: 97065, Reason: Missing Area
Delivery Number: 97066, Reason: Missing Weight
Delivery Number: 97079, Reason: Missing Priority
Delivery Number: 97082, Reason: Missing Weight
Delivery Number: 97101, Reason: Weight exceeds capacity
Delivery Number: 97107, Reason: Weight cannot be zero or negative
Delivery Number: 97113, Reason: Missing Area
Delivery Number: 97123, Reason: Missing Area
Delivery Number: 97134, Reason: Missing Area
Delivery Number: 97192, Reason: Weight cannot be zero or negative
Delivery Number: 97200, Reason: Missing Area
Delivery Number: 97206, Reason: Missing Weight
Delivery Number: 97213, Reason: Missing Area
Delivery Number: 97223, Reason: Missing Area
Delivery Number: 97224, Reason: Missing Priority
Delivery Number: 97232, Reason: Missing Weight
Delivery Number: 97257, Reason: Missing Weight
Delivery Number: 97270, Reason: Missing Weight
Delivery Number: 97285, Reason: Weight exceeds capacity
Delivery Number: 97287, Reason: Weight cannot be zero or negative
Delivery Number: 97316, Reason: Missing Area
Delivery Number: 97329, Reason: Weight cannot be zero or negative
Delivery Number: 97353, Reason: Weight exceeds capacity
Delivery Number: 97386, Reason: Missing Area
Delivery Number: 97394, Reason: Weight exceeds capacity
Delivery Number: 97421, Reason: Missing Area
Delivery Number: 97426, Reason: Weight cannot be zero or negative
Delivery Number: 97430, Reason: Missing Weight
Delivery Number: 97431, Reason: Missing Priority
Delivery Number: 97481, Reason: Weight cannot be zero or negative
Delivery Number: 97497, Reason: Weight cannot be zero or negative
Delivery Number: 97510, Reason: Missing Weight
Delivery Number: 97514, Reason: Missing Area
Delivery Number: 97532, Reason: Missing Priority
Delivery Number: 97536, Reason: Missing Priority
Delivery Number: 97555, Reason: Missing Area
Delivery Number: 97568, Reason: Missing Area
Delivery Number: 97573, Reason: Missing Area
Delivery Number: 97598, Reason: Weight cannot be zero or negative
Delivery Number: 97609, Reason: Weight exceeds capacity
Delivery Number: 97614, Reason: Weight exceeds capacity
Delivery Number: 97628, Reason: Missing Area
Delivery Number: 97636, Reason: Missing Weight
Delivery Number: 97641, Reason: Missing Weight
Delivery Number: 97669, Reason: Weight cannot be zero or negative
Delivery Number: 97675, Reason: Weight cannot be zero or negative
Delivery Number: 97676, Reason: Missing Priority
Delivery Number: 97703, Reason: Weight cannot be zero or negative
Delivery Number: 97711, Reason: Weight cannot be zero or negative
Delivery Number: 97715, Reason: Missing Area
Delivery Number: 97721, Reason: Missing Area
Delivery Number: 97725, Reason: Weight cannot be zero or negative
Delivery Number: 97737, Reason: Missing Weight
Delivery Number: 97758, Reason: Missing Priority
Delivery Number: 97767, Reason: Missing Priority
Delivery Number: 97777, Reason: Weight exceeds capacity
Delivery Number: 97780, Reason: Missing Priority
Delivery Number: 97789, Reason: Missing Area
Delivery Number: 97818, Reason: Missing Area
Delivery Number: 97822, Reason: Missing Priority
Delivery Number: 97827, Reason: Weight cannot be zero or negative
Delivery Number: 97837, Reason: Missing Area
Delivery Number: 97838, Reason: Weight cannot be zero or negative
Delivery Number: 97840, Reason: Missing Area
Delivery Number: 97843, Reason: Missing Priority
Delivery Number: 97853, Reason: Weight cannot be zero or negative
Delivery Number: 97854, Reason: Weight cannot be zero or negative
Delivery Number: 97858, Reason: Missing Weight
Delivery Number: 97860, Reason: Missing Area
Delivery Number: 97873, Reason: Weight exceeds capacity
Delivery Number: 97896, Reason: Missing Area
Delivery Number: 97898, Reason: Weight cannot be zero or negative
Delivery Number: 97914, Reason: Weight cannot be zero or negative
Delivery Number: 97916, Reason: Missing Priority
Delivery Number: 97923, Reason: Missing Weight
Delivery Number: 97928, Reason: Weight exceeds capacity
Delivery Number: 97960, Reason: Missing Priority
Delivery Number: 97964, Reason: Weight cannot be zero or negative
Delivery Number: 97970, Reason: Weight cannot be zero or negative
Delivery Number: 97983, Reason: Missing Priority
Delivery Number: 97985, Reason: Missing Area
Delivery Number: 97994, Reason: Missing Weight
Delivery Number: 97996, Reason: Missing Priority
Delivery Number: 98022, Reason: Missing Weight
Delivery Number: 98046, Reason: Weight cannot be zero or negative
Delivery Number: 98086, Reason: Missing Area
Delivery Number: 98087, Reason: Weight cannot be zero or negative
Delivery Number: 98104, Reason: Missing Weight
Delivery Number: 98108, Reason: Missing Area
Delivery Number: 98124, Reason: Missing Area
Delivery Number: 98136, Reason: Weight cannot be zero or negative
Delivery Number: 98139, Reason: Weight exceeds capacity
Delivery Number: 98142, Reason: Weight cannot be zero or negative
Delivery Number: 98144, Reason: Missing Priority
Delivery Number: 98151, Reason: Missing Weight
Delivery Number: 98159, Reason: Weight cannot be zero or negative
Delivery Number: 98169, Reason: Missing Weight
Delivery Number: 98175, Reason: Weight exceeds capacity
Delivery Number: 98183, Reason: Missing Area
Delivery Number: 98188, Reason: Missing Area
Delivery Number: 98190, Reason: Missing Weight
Delivery Number: 98203, Reason: Weight cannot be zero or negative
Delivery Number: 98210, Reason: Weight exceeds capacity
Delivery Number: 98219, Reason: Weight cannot be zero or negative
Delivery Number: 98235, Reason: Missing Area
Delivery Number: 98264, Reason: Weight exceeds capacity
Delivery Number: 98273, Reason: Weight cannot be zero or negative
Delivery Number: 98275, Reason: Missing Weight
Delivery Number: 98281, Reason: Missing Weight
Delivery Number: 98282, Reason: Missing Weight
Delivery Number: 98285, Reason: Missing Area
Delivery Number: 98289, Reason: Missing Area
Delivery Number: 98305, Reason: Missing Area
Delivery Number: 98311, Reason: Missing Area
Delivery Number: 98331, Reason: Missing Area
Delivery Number: 98332, Reason: Missing Priority
Delivery Number: 98338, Reason: Weight cannot be zero or negative
Delivery Number: 98351, Reason: Weight cannot be zero or negative
Delivery Number: 98365, Reason: Missing Priority
Delivery Number: 98371, Reason: Weight exceeds capacity
Delivery Number: 98401, Reason: Missing Weight
Delivery Number: 98411, Reason: Missing Area
Delivery Number: 98415, Reason: Weight cannot be zero or negative
Delivery Number: 98430, Reason: Missing Area
Delivery Number: 98437, Reason: Weight cannot be zero or negative
Delivery Number: 98446, Reason: Missing Priority
Delivery Number: 98464, Reason: Weight exceeds capacity
Delivery Number: 98487, Reason: Missing Area
Delivery Number: 98491, Reason: Missing Area
Delivery Number: 98510, Reason: Missing Priority
Delivery Number: 98523, Reason: Missing Weight
Delivery Number: 98549, Reason: Missing Area
Delivery Number: 98556, Reason: Weight cannot be zero or negative
Delivery Number: 98558, Reason: Missing Area
Delivery Number: 98565, Reason: Missing Weight
Delivery Number: 98580, Reason: Missing Priority
Delivery Number: 98581, Reason: Missing Area
Delivery Number: 98586, Reason: Weight exceeds capacity
Delivery Number: 98594, Reason: Missing Area
Delivery Number: 98605, Reason: Weight exceeds capacity
Delivery Number: 98622, Reason: Missing Area
Delivery Number: 98630, Reason: Weight exceeds capacity
Delivery Number: 98648, Reason: Weight cannot be zero or negative
Delivery Number: 98666, Reason: Weight cannot be zero or negative
Delivery Number: 98677, Reason: Missing Area
Delivery Number: 98680, Reason: Weight cannot be zero or negative
Delivery Number: 98690, Reason: Missing Area
Delivery Number: 98701, Reason: Weight cannot be zero or negative
Delivery Number: 98716, Reason: Missing Area
Delivery Number: 98721, Reason: Missing Area
Delivery Number: 98722, Reason: Weight cannot be zero or negative
Delivery Number: 98780, Reason: Weight exceeds capacity
Delivery Number: 98782, Reason: Missing Priority
Delivery Number: 98786, Reason: Missing Priority
Delivery Number: 98811, Reason: Missing Weight
Delivery Number: 98813, Reason: Weight cannot be zero or negative
Delivery Number: 98835, Reason: Weight cannot be zero or negative
Delivery Number: 98879, Reason: Missing Priority
Delivery Number: 98890, Reason: Weight cannot be zero or negative
Delivery Number: 98903, Reason: Missing Area
Delivery Number: 98926, Reason: Missing Weight
Delivery Number: 98938, Reason: Weight cannot be zero or negative
Delivery Number: 98964, Reason: Missing Priority
Delivery Number: 98965, Reason: Missing Area
Delivery Number: 98978, Reason: Weight cannot be zero or negative
Delivery Number: 98981, Reason: Missing Area
Delivery Number: 99023, Reason: Missing Area
Delivery Number: 99029, Reason: Missing Area
Delivery Number: 99040, Reason: Weight cannot be zero or negative
Delivery Number: 99045, Reason: Missing Priority
Delivery Number: 99068, Reason: Weight cannot be zero or negative
Delivery Number: 99072, Reason: Weight cannot be zero or negative
Delivery Number: 99087, Reason: Missing Area
Delivery Number: 99102, Reason: Missing Weight
Delivery Number: 99111, Reason: Weight cannot be zero or negative
Delivery Number: 99123, Reason: Weight exceeds capacity
Delivery Number: 99126, Reason: Missing Weight
Delivery Number: 99134, Reason: Weight exceeds capacity
Delivery Number: 99140, Reason: Weight cannot be zero or negative
Delivery Number: 99150, Reason: Weight cannot be zero or negative
Delivery Number: 99171, Reason: Missing Priority
Delivery Number: 99174, Reason: Weight cannot be zero or negative
Delivery Number: 99177, Reason: Missing Priority
Delivery Number: 99180, Reason: Missing Weight
Delivery Number: 99190, Reason: Missing Area
Delivery Number: 99243, Reason: Weight cannot be zero or negative
Delivery Number: 99258, Reason: Weight exceeds capacity
Delivery Number: 99262, Reason: Weight cannot be zero or negative
Delivery Number: 99265, Reason: Missing Weight
Delivery Number: 99284, Reason: Weight cannot be zero or negative
Delivery Number: 99286, Reason: Weight cannot be zero or negative
Delivery Number: 99300, Reason: Missing Area
Delivery Number: 99313, Reason: Missing Weight
Delivery Number: 99333, Reason: Missing Area
Delivery Number: 99339, Reason: Weight cannot be zero or negative
Delivery Number: 99344, Reason: Weight cannot be zero or negative
Delivery Number: 99360, Reason: Weight cannot be zero or negative
Delivery Number: 99400, Reason: Weight cannot be zero or negative
Delivery Number: 99402, Reason: Weight cannot be zero or negative
Delivery Number: 99413, Reason: Missing Area
Delivery Number: 99420, Reason: Weight exceeds capacity
Delivery Number: 99449, Reason: Weight exceeds capacity
Delivery Number: 99477, Reason: Weight cannot be zero or negative
Delivery Number: 99492, Reason: Missing Priority
Delivery Number: 99501, Reason: Missing Area
Delivery Number: 99514, Reason: Weight exceeds capacity
Delivery Number: 99541, Reason: Missing Priority
Delivery Number: 99543, Reason: Weight cannot be zero or negative
Delivery Number: 99562, Reason: Missing Area
Delivery Number: 99569, Reason: Weight cannot be zero or negative
Delivery Number: 99583, Reason: Missing Priority
Delivery Number: 99603, Reason: Weight exceeds capacity
Delivery Number: 99620, Reason: Missing Area
Delivery Number: 99643, Reason: Weight cannot be zero or negative
